Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Location text,Colour,End chainage,End date,Manufacturer,Material,Owner of inventory item,Product name/id,Arup reference ID
FTP_NB3,09/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-LK01-NB-RMP-UTM-UTM02
FTP_NB4,04/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-LK01-NB-RMP-UTM-UTM03
FTP_NB5,09/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM08
FTP_NB6,08/03/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM09
FTP_SB10,10/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-UTM-UTM03
FTP_SB11,10/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-J13-SB-RMP-UTM-UTM02
WMMPNB-8,21/01/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM03
WMMPNB-9,22/05/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM04
WMMPSB-12,24/01/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM03
WMMPSB-13,21/10/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM04
FTP_NB7,08/03/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM05
FTP_NB8,08/11/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM06
FTP_SB7,21/10/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM05
FTP_SB6,31/10/2023,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM06
