Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPNB-268,08/03/2022,,,,99/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM07
MPNB-269,08/03/2022,,,,99/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM08
MPNB-270,22/05/2022,,,,99/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM09
MPNB-271,22/05/2022,,,,99/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM10
MPNB-272,30/06/2022,,,,99/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM11
MPNB-273,30/06/2022,,,,99/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM12
MPNB-274,30/06/2022,,,,100/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM13
MPNB-275,30/06/2022,,,,100/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM14
MPNB-276,30/06/2022,,,,100/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM15
MPNB-277,30/06/2022,,,,100/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM16
MPNB-278,30/06/2022,,,,100/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM17
MPNB-279,30/06/2022,,,,100/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM18
MPNB-280,30/06/2022,,,,100/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM19
MPNB-281,30/06/2022,,,,100/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM20
MPNB-282,30/06/2022,,,,100/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM21
MPNB-283,30/09/2022,,,,100/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM22
MPNB-284,30/09/2022,,,,101/0,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM23
MPNB-285,30/09/2022,,,,101/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM24
MPNB-286,30/09/2022,,,,101/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM25
MPNB-287,30/09/2022,,,,101/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM26
MPNB-288,30/09/2022,,,,101/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM27
MPNB-289,30/09/2022,,,,101/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM01
MPNB-290,30/09/2022,,,,101/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM02
MPNB-291,30/09/2022,,,,101/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM03
