Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,476472.267,,254027.251,,,,,764055,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM69
,,,476547.803,,253963.646,,,,,764058,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM70
,,,476623.389,,253895.656,,,,,764061,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM71
,,,476697.374,,253831.517,,,,,764064,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM72
,,,476773.916,,253766.106,,,,,764067,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM73
,,,476849.334,,253699.755,,,,,764070,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM74
,,,476920.288,,253638.239,,,,,764073,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM75
,,,476996.021,,253574.202,,,,,764076,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM76
,,,477063.954,,253513.713,,,,,768910,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM77
,,,477146.706,,253442.348,,,,,764082,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM78
,,,477223.459,,253375.135,,,,,764085,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM79
,,,477301.1,,253306.155,,,,,764088,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM80
,,,477384.867,,253235.669,,,,,764091,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM81
,,,477449.964,,253169.509,,,,,764094,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM82
,,,477523.224,,253099.876,,,,,764097,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM83
,,,477596.661,,253028.677,,,,,764100,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM84
,,,477666.169,,252959.62,,,,,764103,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM85
,,,477735.171,,252889.767,,,,,764106,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM86
,,,477804.966,,252816.92,,,,,765985,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM87
,,,477872.806,,252745.899,,,,,764112,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM88
,,,477940.916,,252677.447,,,,,764115,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM89
,,,478008.522,,252597.284,,,,,764118,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM90
,,,478074.735,,252522.37,,,,,764121,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM91
,,,478138.441,,252448.317,,,,,764124,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM92
,,,478203.037,,252372.654,,,,,764127,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM93
