Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPNB-292,30/09/2022,,,,101/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM04
MPNB-293,30/09/2022,,,,101/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM05
MPNB-294,30/06/2022,,,,102/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM06
MPNB-295,30/06/2022,,,,102/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM07
MPNB-296,30/06/2022,,,,102/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM08
MPNB-297,30/06/2022,,,,102/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM09
MPNB-298,30/06/2022,,,,102/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM10
MPNB-299,30/06/2022,,,,102/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM11
MPNB-300,30/06/2022,,,,102/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM12
MPNB-301,30/06/2022,,,,102/7,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM13
MPNB-302,30/06/2022,,,,102/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM14
MPNB-303,31/10/2023,,,,102/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM15
MPNB-304,30/06/2022,,,,103/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM16
MPNB-305,30/06/2022,,,,103/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM17
MPNB-306,30/06/2022,,,,103/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM18
MPNB-307,30/06/2022,,,,103/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM19
MPNB-308,30/06/2022,,,,103/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM20
MPNB-309,30/06/2022,,,,103/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM21
MPNB-310,30/06/2022,,,,103/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM22
MPNB-311,30/06/2022,,,,103/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM23
MPNB-312,30/06/2022,,,,103/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM24
MPNB-313,30/06/2022,,,,103/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM25
MPNB-314,30/06/2022,,,,104/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM26
MPNB-315,30/06/2022,,,,104/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM27
MPNB-316,30/06/2022,,,,104/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM28
MPNB-317,30/06/2022,,,,104/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM29
MPNB-318,15/07/2022,,,,104/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM30
MPNB-319,15/07/2022,,,,104/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM31
MPNB-320,15/07/2022,,,,104/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM32
MPNB-321,15/07/2022,,,,104/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM33
MPNB-322,15/07/2022,,,,104/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM34
MPNB-323,15/07/2022,,,,104/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM35
MPNB-324,15/07/2022,,,,105/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM01
MPNB-325,15/07/2022,,,,105/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM02
MPNB-326,15/07/2022,,,,105/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM03
MPNB-327,15/07/2022,,,,105/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM04
MPNB-328,15/07/2022,,,,105/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM05
MPNB-329,15/07/2022,,,,105/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM06
MPNB-330,15/07/2022,,,,105/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM07
MPNB-331,15/07/2022,,,,105/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM08
MPNB-332,21/07/2022,,,,105/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM09
MPNB-333,21/07/2022,,,,105/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM10
MPNB-334,21/07/2022,,,,106/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM11
MPNB-335,21/07/2022,,,,106/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM12
MPNB-336,21/07/2022,,,,106/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM13
MPNB-337,21/07/2022,,,,106/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM14
MPNB-338,21/07/2022,,,,106/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM15
MPNB-339,21/07/2022,,,,106/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM16
MPNB-340,21/07/2022,,,,106/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM17
MPNB-341,21/07/2022,,,,106/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-NB-RMP-RFM-RFM18
