Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,495988.028,,237333.712,,,,,654276,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM01
,,,495889.383,,237370.574,,,,,654273,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM02
,,,495778.241,,237413.662,,,,,654270,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM03
,,,495690.322,,237445.679,,,,,654266,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM04
,,,495603.154,,237466.622,,,,,654263,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM05
,,,495514.802,,237507.405,,,,,654260,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM06
,,,495416.349,,237547.367,,,,,654257,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM07
,,,495324.48,,237585.262,,,,,654254,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM08
,,,495230.453,,237623.116,,,,,654251,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM09
,,,495138.21,,237658.121,,,,,656236,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM10
,,,495044.368,,237693.277,,,,,654245,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM11
,,,494953.329,,237728.535,,,,,654242,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM12
,,,494861.762,,237763.346,,,,,654239,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM13
,,,494767.66,,237799.385,,,,,654236,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM14
,,,494673.313,,237835.359,,,,,654233,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM15
,,,494582.751,,237869.847,,,,,654230,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM16
,,,494489.313,,237905.479,,,,,654227,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM17
,,,494398.744,,237940.017,,,,,654224,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM18
,,,494299.686,,237977.711,,,,,654221,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM19
,,,494204.551,,238009.013,,,,,654218,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM20
,,,494112.021,,238049.046,,,,,654215,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM21
,,,494019.833,,238084.075,,,,,654212,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM22
,,,493921.152,,238121.884,,,,,654209,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM23
,,,493826.831,,238157.782,,,,,654206,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM24
,,,493735.176,,238192.603,,,,,654203,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM25
,,,493648.324,,238226.591,,,,,656239,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM26
,,,493557.609,,238265.242,,,,,654197,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM27
,,,493469.181,,238305.484,,,,,654194,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM28
,,,493382.118,,238347.792,,,,,654191,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM29
,,,493291.553,,238394.658,,,,,654188,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM30
,,,493202.167,,238443.647,,,,,654185,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM31
,,,493113.65,,238496.392,,,,,654182,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM32
,,,493030.16,,238549.239,,,,,654179,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM33
,,,492942.508,,238608.072,,,,,654173,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM34
,,,492862.031,,238664.691,,,,,754673,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM01
,,,492777.025,,238720.962,,,,,754670,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM02
,,,492698.097,,238782.811,,,,,754667,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM03
,,,492617.941,,238840.375,,,,,754664,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM04
,,,492536.974,,238898.706,,,,,754661,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM05
,,,492457.228,,238955.967,,,,,754658,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM06
,,,492373.745,,239016.146,,,,,754655,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM07
,,,492293.591,,239073.784,,,,,754652,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM08
,,,492211.998,,239132.541,,,,,754649,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM09
,,,492131.523,,239190.46,,,,,754646,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM10
,,,492048.994,,239249.807,,,,,754643,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM11
,,,491966.169,,239309.374,,,,,754640,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM12
,,,491883.266,,239369.053,,,,,754637,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM13
,,,491800.113,,239428.861,,,,,754634,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM14
,,,491717.407,,239487.934,,,,,755008,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM15
,,,491636.207,,239543.969,,,,,754628,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM16
,,,491552.217,,239601.177,,,,,754625,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM17
,,,491464.28,,239657.133,,,,,754622,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM18
,,,491380.759,,239707.507,,,,,754619,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM19
,,,491292.229,,239753.639,,,,,754616,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM20
,,,491204.485,,239806.196,,,,,754611,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM21
,,,491119.128,,239849.864,,,,,754608,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM22
,,,491022.242,,239897.719,,,,,754605,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM23
,,,490935.974,,239939.557,,,,,754602,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM24
,,,490846.9,,239983.024,,,,,754599,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM25
,,,490756.313,,240026.941,,,,,754596,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM26
,,,490664.203,,240071.825,,,,,754593,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM27
,,,490580.503,,240112.408,,,,,754590,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM28
,,,490488.369,,240156.984,,,,,755005,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM29
,,,490395.874,,240202.325,,,,,754584,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM30
,,,490306.067,,240246.299,,,,,754581,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM31
,,,490220.229,,240288.264,,,,,754578,IT_SM:IT_SM-M:M1-LK01-NB-RMP-RFM-RFM32
,,,490128.267,,240332.714,,,,,574964,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM01
,,,490039.779,,240375.705,,,,,574961,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM02
,,,489948.83,,240418.947,,,,,574958,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM03
,,,489856.191,,240461.563,,,,,574955,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM04
,,,489764.561,,240504.756,,,,,574952,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM05
,,,489670.583,,240549.308,,,,,574949,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM06
,,,489579.474,,240594.405,,,,,574946,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM07
,,,489480.446,,240643.291,,,,,574943,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM08
,,,489405.382,,240700.244,,,,,574940,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM09
,,,489313.14,,240757.04,,,,,574937,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM10
,,,489231.54,,240810.902,,,,,762241,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM11
,,,489150.69,,240864.98,,,,,574931,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM12
,,,489064.854,,240920.955,,,,,574928,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM13
,,,488973.106,,240969.129,,,,,574925,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM14
,,,488896.564,,241028.652,,,,,574922,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM15
,,,488816.302,,241086.468,,,,,574919,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM16
,,,488740.307,,241138.101,,,,,574916,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM17
,,,488666.324,,241192.834,,,,,574913,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM18
,,,488581.173,,241250.096,,,,,574910,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM19
,,,488494.105,,241308.792,,,,,574907,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM20
,,,488406.944,,241367.301,,,,,574904,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM21
,,,488321.355,,241424.576,,,,,574901,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM22
,,,488238.339,,241479.809,,,,,574898,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM23
,,,488152.83,,241538.774,,,,,574895,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM24
,,,488070.916,,241597.807,,,,,763740,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM25
,,,487994.884,,241655.867,,,,,574889,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM26
,,,487916.399,,241719.167,,,,,574886,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM27
,,,487839.458,,241781.115,,,,,763715,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM28
,,,487757.238,,241849.157,,,,,574880,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM29
,,,487682.357,,241911.501,,,,,574877,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM30
,,,487606.581,,241973.586,,,,,574874,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM31
,,,487528.687,,242037.446,,,,,574871,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM32
,,,487451.915,,242099.846,,,,,574868,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM33
,,,487370.821,,242166.864,,,,,574865,IT_SM:IT_SM-M:M1-J14-NB-RMP-RFM-RFM34
