Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,474185.498,,256139.236,,,,,568698,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM04
,,,474113.891,,256213.277,,,,,568695,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM05
,,,474045.584,,256280.315,,,,,568692,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM06
,,,473968.554,,256351.259,,,,,568689,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM07
,,,473892.665,,256417.532,,,,,568686,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM08
,,,473816.804,,256480.442,,,,,568683,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM09
,,,473737.97,,256541.876,,,,,568680,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM10
,,,473659.364,,256601.188,,,,,568677,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM11
,,,473574.805,,256659.028,,,,,568674,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM12
,,,473494.664,,256715.36,,,,,568671,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM13
,,,473410.746,,256771.665,,,,,568668,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM14
,,,473321.891,,256826.627,,,,,568665,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM15
,,,473240.754,,256874.963,,,,,568662,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM16
,,,473157.385,,256923.626,,,,,568659,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM17
,,,473070.463,,256970.879,,,,,568656,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM18
,,,472980.832,,257017.245,,,,,568653,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM19
,,,472889.426,,257062.174,,,,,568650,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM20
,,,472796.957,,257105.144,,,,,568647,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM21
,,,472707.114,,257143.265,,,,,568644,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM22
,,,472612.508,,257178.507,,,,,568641,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM23
,,,472517.677,,257209.38,,,,,568638,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM24
,,,472417.798,,257257.349,,,,,568635,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM25
,,,472331.23,,257288.135,,,,,568632,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM26
,,,472235.779,,257323.777,,,,,568629,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM27
,,,472141.398,,257361.49,,,,,568626,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM28
,,,472047.994,,257401.28,,,,,568623,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM29
,,,471949.422,,257433.278,,,,,568620,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM30
,,,471867.792,,257481.587,,,,,568617,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM31
,,,471774.221,,257531.199,,,,,568614,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM32
,,,471684.358,,257580.065,,,,,568611,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM33
