Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,487292.737,,242231.391,,,,,651595,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM01
,,,487215.395,,242294.773,,,,,651592,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM02
,,,487139.648,,242356.942,,,,,651589,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM03
,,,487063.388,,242420.371,,,,,651928,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM04
,,,486986.014,,242483.379,,,,,651583,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM05
,,,486907.25,,242548.025,,,,,651580,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM06
,,,486829.059,,242612.238,,,,,651577,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM07
,,,486752.78,,242674.926,,,,,651574,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM08
,,,486676.372,,242738.786,,,,,651571,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM09
,,,486602.067,,242803.69,,,,,651568,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM10
,,,486528.595,,242870.12,,,,,651565,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM11
,,,486453.309,,242938.316,,,,,651562,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM12
,,,486380.498,,243004.131,,,,,651931,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM13
,,,486304.74,,243073.044,,,,,651556,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM14
,,,486231.122,,243139.872,,,,,651551,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM15
,,,486155.746,,243207.984,,,,,651548,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM16
,,,486083.723,,243269.995,,,,,651545,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM17
,,,486003.461,,243337.526,,,,,651542,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM18
,,,485933.037,,243408.807,,,,,651539,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM19
,,,485863.645,,243473.489,,,,,651536,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM20
,,,485792.289,,243547.635,,,,,651533,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM21
,,,485717.128,,243630.956,,,,,651934,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM22
,,,485662.528,,243704.753,,,,,651527,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM23
,,,485609.71,,243783.455,,,,,651524,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM24
,,,485562.124,,243870.37,,,,,651521,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM25
,,,485510.911,,243960.939,,,,,651516,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM26
,,,485463.016,,244046.396,,,,,651513,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM27
,,,485413.584,,244134.138,,,,,653737,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM28
,,,485364.124,,244222.068,,,,,651507,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM29
,,,485314.101,,244310.808,,,,,651504,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM30
,,,485265.141,,244397.809,,,,,651501,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM31
,,,485215.114,,244486.65,,,,,651498,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM32
