Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPSB-16,30/08/2022,,,,108/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J16-SB-RMP-RFM-RFM16
MPSB-17,30/08/2022,,,,108/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM01
MPSB-18,30/08/2022,,,,108/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM02
MPSB-19,30/08/2022,,,,108/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM03
MPSB-20,,,,,108/3,,BLUE,,,,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM04
MPSB-21,30/08/2022,,,,108/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM05
MPSB-22,30/08/2022,,,,108/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM06
MPSB-23,30/08/2022,,,,108/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM07
MPSB-24,30/08/2022,,,,107/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM08
MPSB-25,30/08/2022,,,,107/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM09
MPSB-26,30/08/2022,,,,107/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM10
MPSB-27,30/08/2022,,,,107/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM11
MPSB-28,30/08/2022,,,,107/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM12
MPSB-29,30/08/2022,,,,107/4,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM13
MPSB-30,30/08/2022,,,,107/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM14
MPSB-31,30/08/2022,,,,107/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM15
MPSB-32,30/08/2022,,,,107/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM16
MPSB-33,30/08/2022,,,,107/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM17
MPSB-34,30/08/2022,,,,106/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM18
MPSB-35,31/10/2023,,,,106/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM19
