Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPNB-160,08/11/2021,,,,88/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM17
MPNB-161,08/11/2021,,,,88/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM18
MPNB-162,14/01/2022,,,,88/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM19
MPNB-163,08/11/2021,,,,88/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM20
MPNB-164,08/11/2021,,,,89/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM21
MPNB-165,08/11/2021,,,,89/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM22
MPNB-166,08/11/2021,,,,89/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM23
MPNB-167,08/03/2022,,,,89/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM24
MPNB-168,08/03/2022,,,,89/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM25
MPNB-169,21/01/2022,,,,89/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM26
MPNB-170,21/01/2022,,,,89/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM27
MPNB-171,21/01/2022,,,,89/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM28
MPNB-172,21/01/2022,,,,89/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM29
MPNB-173,08/03/2022,,,,89/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM30
