Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,477645.139,,252933.648,,,,,764887,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM102
,,,477569.384,,253008.646,,,,,764884,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM103
,,,477500.898,,253075.193,,,,,764881,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM104
,,,477427.175,,253145.308,,,,,764878,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM105
,,,477355.158,,253212.141,,,,,764875,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM106
,,,477279.286,,253280.914,,,,,764872,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM107
,,,477200.123,,253351.35,,,,,764869,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM108
,,,477126.948,,253415.098,,,,,766734,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM109
,,,477044.951,,253478.549,,,,,764863,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM110
,,,476971.076,,253550.201,,,,,764860,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM111
,,,476899.412,,253612.509,,,,,764857,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM112
,,,476827.736,,253674.71,,,,,764854,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM113
,,,476753.745,,253738.792,,,,,764851,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM114
,,,476671.147,,253810.434,,,,,764848,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM115
,,,476600.226,,253871.926,,,,,764845,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM116
,,,476525.316,,253936.756,,,,,764842,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM117
,,,476450.472,,254001.646,,,,,764839,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM118
,,,476369.317,,254072.177,,,,,568019,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM01
,,,476301.22,,254131.104,,,,,568016,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM02
,,,476228.076,,254193.481,,,,,568013,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM03
,,,476147.96,,254259.658,,,,,568010,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM04
,,,476066.821,,254327.222,,,,,568007,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM05
,,,475987.723,,254395.194,,,,,568004,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM06
,,,475901.49,,254464.648,,,,,568001,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM07
,,,475826.302,,254528.541,,,,,567998,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM08
,,,475759.326,,254601.165,,,,,567995,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM09
,,,475684.111,,254666.052,,,,,567992,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM10
,,,475621.629,,254720.213,,,,,567977,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM11
,,,475541.416,,254784.22,,,,,567974,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM12
,,,475456.763,,254863.224,,,,,567971,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM13
