Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPSB-291,19/11/2020,,,,81/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM15
MPSB-292,25/08/2021,,,,81/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM16
MPSB-293,25/08/2021,,,,81/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM17
MPSB-294,25/08/2021,,,,80/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM18
MPSB-295,25/08/2021,,,,80/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM19
MPSB-296,25/08/2021,,,,80/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM20
MPSB-297,25/08/2021,,,,80/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM21
MPSB-298,25/08/2021,,,,80/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM22
MPSB-299,04/08/2021,,,,80/4,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM23
MPSB-300,04/08/2021,,,,80/3,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM24
MPSB-301,26/08/2021,,,,80/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM25
MPSB-302,10/03/2021,,,,80/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM26
MPSB-303,11/03/2021,,,,80/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM27
MPSB-304,10/03/2021,,,,79/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM28
MPSB-305,10/03/2021,,,,79/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM29
MPSB-306,10/03/2021,,,,79/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM30
MPSB-307,10/03/2021,,,,79/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM31
MPSB-308,10/03/2021,,,,79/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM32
MPSB-309,10/03/2021,,,,79/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM33
MPSB-310,25/01/2021,,,,79/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM34
MPSB-311,10/03/2021,,,,79/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM01
MPSB-312,18/11/2020,,,,79/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM02
MPSB-313,25/01/2021,,,,79/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM03
MPSB-314,17/11/2020,,,,78/9,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM04
MPSB-315,18/11/2020,,,,78/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM05
MPSB-316,08/11/2021,,,,78/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM06
MPSB-317,18/11/2020,,,,78/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM07
MPSB-318,08/11/2021,,,,78/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM08
MPSB-319,18/11/2020,,,,78/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM09
MPSB-320,18/11/2020,,,,78/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM10
MPSB-321,11/03/2021,,,,78/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM11
MPSB-322,18/11/2020,,,,78/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM12
MPSB-323,18/11/2020,,,,78/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM13
MPSB-324,18/11/2020,,,,77/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM14
MPSB-325,18/11/2020,,,,77/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM15
MPSB-326,25/01/2021,,,,77/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM16
MPSB-327,17/11/2020,,,,77/6,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM17
MPSB-328,18/11/2020,,,,77/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM18
MPSB-329,18/11/2020,,,,77/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM19
MPSB-330,18/11/2020,,,,77/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM20
MPSB-331,25/01/2021,,,,77/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM21
MPSB-332,25/01/2021,,,,77/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM22
MPSB-333,10/03/2021,,,,77/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM23
MPSB-334,18/11/2020,,,,76/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM24
MPSB-335,19/11/2020,,,,76/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM25
MPSB-336,19/11/2020,,,,76/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM26
MPSB-337,25/01/2021,,,,76/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM27
MPSB-338,25/01/2021,,,,76/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM28
MPSB-339,19/11/2020,,,,76/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM29
MPSB-340,19/11/2020,,,,76/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM30
MPSB-341,19/11/2020,,,,76/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM31
MPSB-342,25/01/2021,,,,76/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM32
MPSB-343,19/11/2020,,,,76/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM01
MPSB-344,19/11/2020,,,,75/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM02
MPSB-345,25/01/2021,,,,75/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM03
MPSB-346,19/11/2020,,,,75/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM04
