Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPNB-101,19/11/2020,,,,82/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM01
MPNB-102,19/11/2020,,,,82/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM02
MPNB-103,11/05/2021,,,,82/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM03
MPNB-104,11/05/2021,,,,83/0,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM04
MPNB-105,11/05/2021,,,,83/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM05
MPNB-106,11/05/2021,,,,83/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM06
MPNB-107,11/05/2021,,,,83/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM07
MPNB-108,11/05/2021,,,,83/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM08
MPNB-109,11/05/2021,,,,83/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM09
MPNB-110,11/05/2021,,,,83/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM10
MPNB-111,11/05/2021,,,,83/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM11
MPNB-112,11/05/2021,,,,83/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM12
MPNB-113,12/05/2021,,,,83/9,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-SER-NB-RMP-RFM-RFM13
