Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,488515.814,,241333.154,,,,,575009,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM15
,,,488598.813,,241277.372,,,,,575012,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM16
,,,488684.647,,241219.473,,,,,575015,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM17
,,,488760.584,,241169.811,,,,,575018,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM18
,,,488842.896,,241118.515,,,,,575021,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM19
,,,488918.312,,241073.451,,,,,575024,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM20
,,,489000.651,,241006.783,,,,,575694,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM21
,,,489084.258,,240950.693,,,,,575697,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM22
,,,489166.93,,240895.685,,,,,763691,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM23
,,,489245.628,,240842.13,,,,,762946,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM24
,,,489336.104,,240785.659,,,,,575706,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM25
,,,489427.467,,240742.265,,,,,575709,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM26
,,,489511.107,,240687.644,,,,,575712,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM27
,,,489595.717,,240639.35,,,,,575715,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM28
,,,489686.828,,240591.324,,,,,575718,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM29
,,,489787.394,,240540.614,,,,,575721,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM30
,,,489875.327,,240496.811,,,,,575724,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM31
,,,489965.995,,240450.557,,,,,575727,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM32
,,,490053.031,,240406.424,,,,,575730,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM33
,,,490141.338,,240366.106,,,,,575733,IT_SM:IT_SM-M:M1-J14-SB-RMP-RFM-RFM34
,,,490234.866,,240317.672,,,,,753732,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM01
,,,490323.853,,240274.396,,,,,753765,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM02
,,,490414.272,,240235.106,,,,,753768,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM03
,,,490502.947,,240187.72,,,,,755011,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM04
,,,490589.604,,240145.132,,,,,753774,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM05
,,,490678.419,,240101.938,,,,,753777,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM06
,,,490767.492,,240058.591,,,,,753780,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM07
,,,490857.78,,240014.611,,,,,753783,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM08
,,,490947.834,,239970.804,,,,,753786,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM09
,,,491038.397,,239926.784,,,,,753789,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM10
,,,491127.271,,239883.588,,,,,753792,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM11
,,,491220.32,,239835.359,,,,,753795,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM12
,,,491309.735,,239786.987,,,,,754518,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM13
,,,491399.132,,239735.672,,,,,754521,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM14
,,,491485.08,,239683.404,,,,,754524,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM15
,,,491571.974,,239628.153,,,,,754527,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM16
,,,491656.651,,239571.833,,,,,755014,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM17
,,,491741.31,,239512.436,,,,,754533,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM18
,,,491822.147,,239454.06,,,,,754536,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM19
,,,491902.988,,239395.861,,,,,754539,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM20
,,,491986.668,,239335.992,,,,,754542,IT_SM:IT_SM-M:M1-LK01-SB-RMP-RFM-RFM21
