Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPSB-116,20/08/2021,,,,98/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM69
MPSB-117,17/01/2022,,,,98/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM70
MPSB-118,26/08/2021,,,,98/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM71
MPSB-119,26/08/2021,,,,98/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM72
MPSB-120,26/08/2021,,,,98/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM73
MPSB-121,26/08/2021,,,,98/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM74
MPSB-122,26/08/2021,,,,98/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM75
MPSB-123,01/03/2022,,,,98/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM76
MPSB-124,26/08/2021,,,,97/9,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM77
MPSB-125,26/08/2021,,,,97/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM78
MPSB-126,26/08/2021,,,,97/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM79
