Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPSB-127,26/08/2021,,,,97/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM80
MPSB-128,31/08/2021,,,,97/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM81
MPSB-129,31/08/2021,,,,97/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM82
MPSB-130,31/08/2021,,,,97/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM83
MPSB-131,31/08/2021,,,,97/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM84
MPSB-132,31/08/2021,,,,97/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM85
MPSB-133,31/08/2021,,,,97/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM86
MPSB-134,31/08/2021,,,,96/9,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM87
MPSB-135,17/01/2022,,,,96/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM88
MPSB-136,20/08/2021,,,,96/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM89
MPSB-137,26/08/2021,,,,96/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM90
MPSB-138,26/08/2021,,,,96/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM91
MPSB-139,26/08/2021,,,,96/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM92
MPSB-140,26/08/2021,,,,96/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM93
MPSB-141,26/08/2021,,,,96/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM94
MPSB-142,26/08/2021,,,,96/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM95
MPSB-143,26/08/2021,,,,96/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM96
MPSB-144,26/08/2021,,,,95/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM97
MPSB-145,28/05/2022,,,,95/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM98
MPSB-146,28/05/2022,,,,95/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM99
MPSB-147,17/01/2022,,,,95/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM100
MPSB-148,31/10/2023,,,,95/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM101
MPSB-149,31/08/2021,,,,95/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM102
MPSB-150,31/08/2021,,,,95/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM103
MPSB-151,26/08/2021,,,,95/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM104
MPSB-152,17/01/2022,,,,95/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM105
MPSB-153,26/08/2021,,,,95/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM106
MPSB-154,26/08/2021,,,,94/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM107
MPSB-155,26/08/2021,,,,94/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM108
MPSB-156,26/08/2021,,,,94/7,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM109
MPSB-157,26/08/2021,,,,94/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM110
MPSB-158,31/08/2021,,,,94/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM111
MPSB-159,17/01/2022,,,,94/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM112
MPSB-160,17/01/2022,,,,94/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM113
MPSB-161,01/03/2022,,,,94/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM114
MPSB-162,22/09/2022,,,,94/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM115
MPSB-163,22/09/2022,,,,94/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM116
MPSB-164,22/09/2022,,,,93/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM117
