Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,483178.51,,246385.63,,,,,587538,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM17
,,,483095.907,,246446.818,,,,,587535,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM18
,,,483018.492,,246504.428,,,,,587532,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM19
,,,482936.693,,246565.158,,,,,587529,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM20
,,,482856.421,,246624.802,,,,,587526,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM21
,,,482775.096,,246685.257,,,,,587523,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM22
,,,482693.552,,246745.797,,,,,587520,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM23
,,,482609.212,,246808.403,,,,,587517,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM24
,,,482532.242,,246867.815,,,,,587514,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM25
,,,482456.599,,246928.473,,,,,587511,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM26
,,,482395.742,,246979.048,,,,,587508,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM27
,,,482306.011,,247058.134,,,,,587505,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM28
,,,482230.152,,247127.715,,,,,587502,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM29
,,,482156.067,,247198.938,,,,,587499,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM30
,,,482088.893,,247266.173,,,,,587496,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM31
,,,482032.549,,247322.908,,,,,587493,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM32
,,,481945.424,,247410.405,,,,,587490,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM33
,,,481872.578,,247478.373,,,,,587487,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM34
,,,481804.39,,247552.979,,,,,587484,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM35
,,,481732.219,,247625.672,,,,,587481,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM36
,,,481662.599,,247695.746,,,,,587478,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM37
,,,481593.581,,247765.286,,,,,587475,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM38
,,,481524.621,,247834.783,,,,,587472,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM39
,,,481453.53,,247906.448,,,,,587469,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM40
,,,481381.727,,247978.835,,,,,581098,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM41
,,,481313.49,,248047.598,,,,,581095,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM42
,,,481243.757,,248117.846,,,,,581092,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM43
,,,481170.02,,248190.277,,,,,581089,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM44
,,,481100.811,,248261.985,,,,,581086,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM45
,,,481029.66,,248333.566,,,,,581083,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM46
,,,480958.751,,248405.109,,,,,581080,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM47
,,,480886.987,,248477.501,,,,,581077,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM48
,,,480814.398,,248550.554,,,,,581074,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM49
,,,480737.113,,248628.485,,,,,581071,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM50
,,,480662.795,,248703.402,,,,,582865,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM51
,,,480601.443,,248764.883,,,,,581065,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM52
,,,480535.454,,248831.509,,,,,581062,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM53
,,,480460.911,,248908.378,,,,,581059,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM54
,,,480388.003,,248987.528,,,,,581056,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM55
,,,480318.172,,249067.263,,,,,582897,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM56
,,,480250.339,,249149.566,,,,,581050,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM57
,,,480183.292,,249236.83,,,,,581047,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM58
,,,480119.843,,249323.714,,,,,581044,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM59
,,,480059.155,,249411.94,,,,,581041,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM60
,,,480001.802,,249500.564,,,,,581038,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM61
,,,479951.977,,249579.991,,,,,581035,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM62
,,,479900.192,,249670.156,,,,,581032,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM63
,,,479850.174,,249755.258,,,,,581029,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM64
,,,479800.903,,249839.14,,,,,581026,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM65
,,,479739.809,,249943.138,,,,,581023,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM66
,,,479678.138,,250048.118,,,,,581020,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM67
,,,479617.511,,250151.473,,,,,581017,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM68
,,,479561.093,,250246.379,,,,,581014,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM69
,,,479508.23,,250335.825,,,,,581009,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM70
,,,479454.869,,250420.423,,,,,581006,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM71
,,,479594.255,,250265.788,,,,,580235,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM01
,,,479646.603,,250167.199,,,,,580238,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM02
,,,479706.66,,250067.141,,,,,580241,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM03
,,,479767.169,,249961.913,,,,,580244,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM04
,,,479828.955,,249856.747,,,,,580247,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM05
,,,479879.59,,249770.56,,,,,580250,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM06
,,,479929.494,,249687.411,,,,,580253,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM07
,,,479979.912,,249601.267,,,,,580256,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM08
,,,480031.092,,249517.905,,,,,580259,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM09
,,,480086.741,,249430.326,,,,,580262,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM10
,,,480147.935,,249341.488,,,,,580265,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM11
,,,480217.169,,249250.819,,,,,580268,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM12
,,,480343.102,,249089.642,,,,,580274,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM13
,,,480414.009,,249008.093,,,,,580277,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM14
,,,480485.471,,248930.453,,,,,580280,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM15
,,,480567.941,,248848.096,,,,,580283,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM16
,,,480626.511,,248786.435,,,,,582878,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM17
,,,480684.922,,248728.083,,,,,580289,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM18
,,,480761.009,,248651.259,,,,,580955,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM19
,,,480835.424,,248576.359,,,,,580958,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM20
,,,480913.986,,248503.226,,,,,580961,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM21
,,,480984.773,,248425.869,,,,,580964,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM22
,,,481057.999,,248352.083,,,,,580967,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM23
,,,481124.623,,248284.98,,,,,580970,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM24
,,,481193.852,,248215.131,,,,,580973,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM25
,,,481271.734,,248136.905,,,,,580976,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM26
,,,481339.098,,248068.824,,,,,580979,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM27
,,,481406.008,,248001.628,,,,,580982,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM28
,,,481479.772,,247927.031,,,,,588251,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM29
,,,481546.87,,247859.5,,,,,588254,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM30
,,,481618.422,,247787.447,,,,,588257,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM31
,,,481687.524,,247717.71,,,,,588260,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM32
,,,481756.198,,247648.583,,,,,588263,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM33
,,,481828.615,,247575.568,,,,,588266,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM34
,,,481898.333,,247505.436,,,,,588269,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM35
,,,481970.344,,247432.691,,,,,588272,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM36
,,,482040.901,,247361.753,,,,,588275,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM37
,,,482112.619,,247289.204,,,,,588278,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM38
,,,482182.257,,247219.623,,,,,588281,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM39
