Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,468098.311,,259327.606,,,,,760088,IT_SM:IT_SM-M:M1-J16-SB-RMP-RFM-RFM16
,,,468187.127,,259297.378,,,,,567363,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM01
,,,468289.369,,259262.896,,,,,567366,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM02
,,,468380.445,,259232.72,,,,,567369,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM03
,,,468485.64,,259199.79,,,,,567372,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM04
,,,468580.337,,259169.891,,,,,567375,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM05
,,,468669.593,,259137.563,,,,,567378,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM06
,,,468764.718,,259103.889,,,,,567381,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM07
,,,468855.665,,259073.458,,,,,567384,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM08
,,,468957.938,,259039.225,,,,,567387,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM09
,,,469047.034,,259009.438,,,,,567390,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM10
,,,469141.76,,258977.737,,,,,567393,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM11
,,,469238.135,,258949.846,,,,,567396,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM12
,,,469329.45,,258915.202,,,,,570802,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM13
,,,469427.986,,258882.136,,,,,567402,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM14
,,,469524.593,,258849.639,,,,,567405,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM15
,,,469622.77,,258815.432,,,,,567408,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM16
,,,469713.623,,258781.727,,,,,567411,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM17
,,,469810.85,,258743.483,,,,,567414,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM18
,,,469900.815,,258706.653,,,,,567417,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM19
,,,469995.249,,258662.974,,,,,570772,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM20
,,,470082.855,,258622.382,,,,,567423,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM21
,,,470179.745,,258573.835,,,,,567426,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM22
,,,470266.097,,258528.511,,,,,567429,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM23
,,,470353.745,,258479.602,,,,,567432,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM24
,,,470441.624,,258428.948,,,,,567435,IT_SM:IT_SM-M:M1-LK03-SB-RMP-RFM-RFM25
