Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPNB-1,,,,,72/7,,BLUE,,,,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM01
MPNB-2,,,,,72/8,,BLUE,,,,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM02
MPNB-3,,,,,72/9,,BLUE,,,,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM03
MPNB-4,,,,,73/0,,BLUE,,,,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM04
MPNB-5,,,,,73/1,,BLUE,,,,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM05
MPNB-6,19/01/2021,,,,73/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM06
MPNB-7,17/11/2020,,,,73/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM07
MPNB-8,24/02/2021,,,,73/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM08
MPNB-9,16/11/2020,,,,73/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM09
MPNB-10,16/11/2020,,,,73/6,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM10
MPNB-11,16/11/2020,,,,73/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM11
MPNB-12,17/11/2020,,,,73/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM12
MPNB-13,24/02/2021,,,,73/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM13
MPNB-14,16/11/2020,,,,74/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM14
MPNB-15,17/11/2020,,,,74/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM15
MPNB-16,12/01/2021,,,,74/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM16
MPNB-17,12/01/2021,,,,74/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM17
MPNB-18,17/11/2020,,,,74/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM18
MPNB-19,12/01/2021,,,,74/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM19
MPNB-20,20/01/2021,,,,74/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM20
MPNB-21,17/11/2020,,,,74/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM21
MPNB-22,16/11/2020,,,,74/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM22
MPNB-23,24/02/2021,,,,74/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM23
MPNB-24,20/01/2021,,,,75/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM24
MPNB-25,19/01/2021,,,,75/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM25
MPNB-26,24/02/2021,,,,75/2,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-J13-NB-RMP-RFM-RFM26
