Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
MPSB-356,19/11/2020,,,,74/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494126.074,,238079.261,,,,,654318,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM13
MPSB-357,19/11/2020,,,,74/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494220.061,,238043.491,,,,,654321,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM14
MPSB-358,27/01/2021,,,,74/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494315.322,,238007.189,,,,,654324,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM15
MPSB-359,19/11/2020,,,,74/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494409.709,,237971.218,,,,,654327,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM16
MPSB-360,27/01/2021,,,,74/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494503.085,,237935.611,,,,,654330,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM17
MPSB-361,10/03/2021,,,,74/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494591.601,,237904.073,,,,,654333,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM18
MPSB-362,19/11/2020,,,,74/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494689.749,,237866.228,,,,,654336,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM19
MPSB-363,08/01/2021,,,,74/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494781.863,,237829.522,,,,,654339,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM20
MPSB-364,19/11/2020,,,,73/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494874.456,,237795.714,,,,,654342,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM21
MPSB-365,19/11/2020,,,,73/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,494965.732,,237760.922,,,,,654345,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM22
MPSB-366,10/03/2021,,,,73/7,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495056.182,,237725.509,,,,,656248,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM23
MPSB-367,19/11/2020,,,,73/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495150.225,,237690.767,,,,,654351,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM24
MPSB-368,08/01/2021,,,,73/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495241.82,,237654.225,,,,,654354,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM25
