Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Location text,Colour,End chainage,End date,Manufacturer,Material,Owner of inventory item,Product name/id,Section,Start chainage,Start date,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
WMMPNB-6,19/11/2020,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,487487.086,,242070.577,,,,,575902,IT_SM:IT_SM-M:M1-J14-NB-RMP-UTM-UTM05
WMMPNB-7,21/01/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,484761.695,,245121.553,,,,,651726,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM07
WMMPSB-14,17/03/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,485323.153,,244362.489,,,,,651749,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM07
WMMPSB-15,04/08/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,487226.32,,242329.427,,,,,651764,IT_SM:IT_SM-M:M1-SER-SB-RMP-UTM-UTM08
WMMPSB-16,04/08/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,489238.933,,240846.062,,,,,576105,IT_SM:IT_SM-M:M1-J14-SB-RMP-UTM-UTM03
WMMPSB-17,11/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,490344.809,,240266.661,,,,,754725,IT_SM:IT_SM-M:M1-LK01-SB-RMP-UTM-UTM01
WMMPSB-18,11/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,492280.578,,239127.007,,,,,754745,IT_SM:IT_SM-M:M1-LK01-SB-RMP-UTM-UTM02
WMMPSB-19,11/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,493696.447,,238246.199,,,,,655301,IT_SM:IT_SM-M:M1-J13-SB-RMP-UTM-UTM01
FTP_NB2,09/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,494700.369,,237824.697,,,,,655325,IT_SM:IT_SM-M:M1-J13-NB-RMP-UTM-UTM02
FTP_NB3,09/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,492529.953,,238902.574,,,,,754809,IT_SM:IT_SM-M:M1-LK01-NB-RMP-UTM-UTM02
