Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
HMPSB-5,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469260.85,,258939.616,,,,,568245,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL05
HMPSB-6,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469270.024,,258935.432,,,,,568242,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL06
HMPSB-7,30/09/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470532.204,,258376.422,,,,,568224,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL07
HMPSB-8,30/09/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470539.941,,258370.168,,,,,568227,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL08
HMPSB-9,30/09/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470547.964,,258364.174,,,,,568230,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL09
HMPSB-61,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471216.394,,257916.97,,,,,568206,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL10
HMPSB-62,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471223.626,,257910.837,,,,,568209,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL11
HMPSB-63,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471230.06,,257905.52,,,,,568212,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL12
HMPSB-10,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473257.02,,256908.368,,,,,568861,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL01
HMPSB-11,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473265.018,,256902.488,,,,,568864,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL02
HMPSB-12,30/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473272.784,,256896.75,,,,,568867,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL03
HMPSB-13,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474368.678,,255999.069,,,,,568771,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL04
HMPSB-14,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474374.734,,255991.129,,,,,568774,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL05
HMPSB-15,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474380.899,,255983.274,,,,,568777,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL06
HMPSB-16,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475683.667,,254714.317,,,,,575867,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL04
HMPSB-17,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475690.361,,254707.162,,,,,575864,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL05
HMPSB-19,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,476538.193,,253972.978,,,,,765090,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL13
HMPSB-20,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,476545.257,,253965.766,,,,,765093,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL14
HMPSB-21,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,476552.266,,253958.493,,,,,765096,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL15
HMPSB-64,28/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477411.652,,253208.797,,,,,765072,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL16
HMPSB-65,28/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477418.159,,253201.456,,,,,"765075, 765078",IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL17
HMPSB-22,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477977.91,,252635.019,,,,,765052,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL18
HMPSB-23,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477984.2,,252626.867,,,,,765055,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL19
HMPSB-24,20/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477989.87,,252619.351,,,,,765058,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL20
HMPSB-67,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478605.28,,251861.621,,,,,765034,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL21
HMPSB-68,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478610.233,,251852.84,,,,,765037,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL22
HMPSB-69,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478615.124,,251844.216,,,,,765040,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL23
HMPSB-25,17/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479075.655,,251144.45,,,,,765026,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL24
HMPSB-26,21/09/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479079.846,,251135.42,,,,,765023,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL25
HMPSB-27,21/09/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479084.239,,251126.128,,,,,765020,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL26
