Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
HMPSB-45,05/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,487334.648,,242241.309,,,,,651779,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL05
HMPSB-46,05/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,489336.875,,240785.078,,,,,575893,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL01
HMPSB-47,05/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,489344.852,,240779.004,,,,,575896,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL02
HMPSB-48,12/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,489352.699,,240772.949,,,,,575899,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL03
HMPSB-49,19/01/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,490450.576,,240216.052,,,,,"754764, 568221",IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL01
HMPSB-50,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,490458.455,,240211.247,,,,,754767,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL02
HMPSB-51,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,490468.068,,240205.364,,,,,754770,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL03
HMPSB-52,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,492373.197,,239060.962,,,,,754782,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL04
HMPSB-53,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,492380.504,,239054.638,,,,,754785,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL05
HMPSB-54,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,492388.749,,239047.536,,,,,754788,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL06
HMPSB-55,19/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,493804.47,,238205.002,,,,,654418,IT_SM:IT_SM-M:M1-J13-SB-RTS-BOL-BOL01
