SUPP_REFF,Layer,Asset ID,Drawing Name,Area Code,Direction
MPSB-157,GX_ANNO_TEXT_T_VERIF_0000X,580211,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-158,GX_ANNO_TEXT_T_VERIF_0000X,580214,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-159,GX_ANNO_TEXT_T_VERIF_0000X,580217,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-160,GX_ANNO_TEXT_T_VERIF_0000X,580220,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-161,GX_ANNO_TEXT_T_VERIF_0000X,580223,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-162,GX_ANNO_TEXT_T_VERIF_0000X,580226,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-163,GX_ANNO_TEXT_T_VERIF_0000X,580229,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-164,GX_ANNO_TEXT_T_VERIF_0000X,580232,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-165,GX_ANNO_TEXT_T_VERIF_0000X,580235,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-166,GX_ANNO_TEXT_T_VERIF_0000X,580238,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-167,GX_ANNO_TEXT_T_VERIF_0000X,580241,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-168,GX_ANNO_TEXT_T_VERIF_0000X,580244,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-169,GX_ANNO_TEXT_T_VERIF_0000X,580247,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-170,GX_ANNO_TEXT_T_VERIF_0000X,580250,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-171,GX_ANNO_TEXT_T_VERIF_0000X,580253,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-172,GX_ANNO_TEXT_T_VERIF_0000X,580256,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-173,GX_ANNO_TEXT_T_VERIF_0000X,580259,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-174,GX_ANNO_TEXT_T_VERIF_0000X,580262,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-175,GX_ANNO_TEXT_T_VERIF_0000X,580265,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-176,GX_ANNO_TEXT_T_VERIF_0000X,580268,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-178,GX_ANNO_TEXT_T_VERIF_0000X,580274,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-179,GX_ANNO_TEXT_T_VERIF_0000X,580277,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-180,GX_ANNO_TEXT_T_VERIF_0000X,580280,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-181,GX_ANNO_TEXT_T_VERIF_0000X,580283,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-183,GX_ANNO_TEXT_T_VERIF_0000X,580289,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-184,GX_ANNO_TEXT_T_VERIF_0000X,580955,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-185,GX_ANNO_TEXT_T_VERIF_0000X,580958,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-186,GX_ANNO_TEXT_T_VERIF_0000X,580961,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-187,GX_ANNO_TEXT_T_VERIF_0000X,580964,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-188,GX_ANNO_TEXT_T_VERIF_0000X,580967,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-189,GX_ANNO_TEXT_T_VERIF_0000X,580970,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-190,GX_ANNO_TEXT_T_VERIF_0000X,580973,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-191,GX_ANNO_TEXT_T_VERIF_0000X,580976,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-192,GX_ANNO_TEXT_T_VERIF_0000X,580979,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPSB-193,GX_ANNO_TEXT_T_VERIF_0000X,580982,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
MPNB-221,GX_ANNO_TEXT_T_VERIF_0000X,580985,HA549348-AMAR-HSN-ML02-M3-CH-000005.dwg,ML02,MP
