SUPP_REFF,Layer,Asset ID,Drawing Name,Area Code,Direction
MPNB-34,C-ASSEMBLIES_Points,654173,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPSB-343,C-ASSEMBLIES_Points,654176,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-33,C-ASSEMBLIES_Points,654179,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-32,C-ASSEMBLIES_Points,654182,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-31,C-ASSEMBLIES_Points,654185,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-30,C-ASSEMBLIES_Points,654188,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-29,C-ASSEMBLIES_Points,654191,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-28,C-ASSEMBLIES_Points,654194,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-27,C-ASSEMBLIES_Points,654197,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-25,C-ASSEMBLIES_Points,654203,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-24,C-ASSEMBLIES_Points,654206,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-23,C-ASSEMBLIES_Points,654209,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-22,C-ASSEMBLIES_Points,654212,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-21,C-ASSEMBLIES_Points,654215,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-20,C-ASSEMBLIES_Points,654218,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-19,C-ASSEMBLIES_Points,654221,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-18,C-ASSEMBLIES_Points,654224,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-17,C-ASSEMBLIES_Points,654227,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-16,C-ASSEMBLIES_Points,654230,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-15,C-ASSEMBLIES_Points,654233,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-14,C-ASSEMBLIES_Points,654236,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-13,C-ASSEMBLIES_Points,654239,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-12,C-ASSEMBLIES_Points,654242,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-11,C-ASSEMBLIES_Points,654245,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-9,C-ASSEMBLIES_Points,654251,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-8,C-ASSEMBLIES_Points,654254,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-7,C-ASSEMBLIES_Points,654257,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-6,C-ASSEMBLIES_Points,654260,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-5,C-ASSEMBLIES_Points,654263,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-4,C-ASSEMBLIES_Points,654266,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-3,C-ASSEMBLIES_Points,654270,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-2,C-ASSEMBLIES_Points,654273,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPNB-1,C-ASSEMBLIES_Points,654276,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPSB-344,C-ASSEMBLIES_Points,654279,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
MPSB-345,C-ASSEMBLIES_Points,654282,HA549348-AMAR-HSN-J13-M3-CH-000002.dwg,J13,MP
