SUPP_REFF,Layer,Asset ID,Drawing Name,Area Code,Direction
MPNB-256,GX_ANNO_TEXT_T_VERIF_0000X,764854,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-255,GX_ANNO_TEXT_T_VERIF_0000X,764857,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-254,GX_ANNO_TEXT_T_VERIF_0000X,764860,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-253,GX_ANNO_TEXT_T_VERIF_0000X,764863,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-251,GX_ANNO_TEXT_T_VERIF_0000X,764869,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-250,GX_ANNO_TEXT_T_VERIF_0000X,764872,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-249,GX_ANNO_TEXT_T_VERIF_0000X,764875,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-248,GX_ANNO_TEXT_T_VERIF_0000X,764878,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-247,GX_ANNO_TEXT_T_VERIF_0000X,764881,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-246,GX_ANNO_TEXT_T_VERIF_0000X,764884,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-245,GX_ANNO_TEXT_T_VERIF_0000X,764887,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-244,GX_ANNO_TEXT_T_VERIF_0000X,764890,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-243,GX_ANNO_TEXT_T_VERIF_0000X,764893,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-241,GX_ANNO_TEXT_T_VERIF_0000X,764899,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-240,GX_ANNO_TEXT_T_VERIF_0000X,764902,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-239,GX_ANNO_TEXT_T_VERIF_0000X,764905,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-238,GX_ANNO_TEXT_T_VERIF_0000X,764908,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-237,GX_ANNO_TEXT_T_VERIF_0000X,764911,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-236,GX_ANNO_TEXT_T_VERIF_0000X,764914,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-235,GX_ANNO_TEXT_T_VERIF_0000X,764917,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-234,GX_ANNO_TEXT_T_VERIF_0000X,764920,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-233,GX_ANNO_TEXT_T_VERIF_0000X,764925,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-232,GX_ANNO_TEXT_T_VERIF_0000X,764928,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-231,GX_ANNO_TEXT_T_VERIF_0000X,764931,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-230,GX_ANNO_TEXT_T_VERIF_0000X,764934,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-229,GX_ANNO_TEXT_T_VERIF_0000X,764937,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-228,GX_ANNO_TEXT_T_VERIF_0000X,764940,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-227,GX_ANNO_TEXT_T_VERIF_0000X,764943,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-226,GX_ANNO_TEXT_T_VERIF_0000X,764946,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-225,GX_ANNO_TEXT_T_VERIF_0000X,764949,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-224,GX_ANNO_TEXT_T_VERIF_0000X,764952,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-223,GX_ANNO_TEXT_T_VERIF_0000X,764955,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-222,GX_ANNO_TEXT_T_VERIF_0000X,764958,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
HMPSB-27,GX_ANNO_TEXT_T_VERIF_0000X,765020,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-26,GX_ANNO_TEXT_T_VERIF_0000X,765023,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-25,GX_ANNO_TEXT_T_VERIF_0000X,765026,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-67,GX_ANNO_TEXT_T_VERIF_0000X,765034,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-68,GX_ANNO_TEXT_T_VERIF_0000X,765037,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-69,GX_ANNO_TEXT_T_VERIF_0000X,765040,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-60,GX_ANNO_TEXT_T_VERIF_0000X,765043,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-59,GX_ANNO_TEXT_T_VERIF_0000X,765046,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-58,GX_ANNO_TEXT_T_VERIF_0000X,765049,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-22,GX_ANNO_TEXT_T_VERIF_0000X,765052,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-23,GX_ANNO_TEXT_T_VERIF_0000X,765055,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-24,GX_ANNO_TEXT_T_VERIF_0000X,765058,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-39,GX_ANNO_TEXT_T_VERIF_0000X,765063,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-38,GX_ANNO_TEXT_T_VERIF_0000X,765066,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-37,GX_ANNO_TEXT_T_VERIF_0000X,765069,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-64,GX_ANNO_TEXT_T_VERIF_0000X,765072,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-65,GX_ANNO_TEXT_T_VERIF_0000X,765075,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-65,GX_ANNO_TEXT_T_VERIF_0000X,765078,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-42,GX_ANNO_TEXT_T_VERIF_0000X,765081,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-41,GX_ANNO_TEXT_T_VERIF_0000X,765084,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-40,GX_ANNO_TEXT_T_VERIF_0000X,765087,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-19,GX_ANNO_TEXT_T_VERIF_0000X,765090,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-20,GX_ANNO_TEXT_T_VERIF_0000X,765093,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPSB-21,GX_ANNO_TEXT_T_VERIF_0000X,765096,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-36,GX_ANNO_TEXT_T_VERIF_0000X,765099,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-35,GX_ANNO_TEXT_T_VERIF_0000X,765102,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
HMPNB-34,GX_ANNO_TEXT_T_VERIF_0000X,765105,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,HM
MPNB-242,GX_ANNO_TEXT_T_VERIF_0000X,765969,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPSB-134,GX_ANNO_TEXT_T_VERIF_0000X,765985,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPNB-252,GX_ANNO_TEXT_T_VERIF_0000X,766734,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
MPSB-124,GX_ANNO_TEXT_T_VERIF_0000X,768910,HA549348-AMAR-HSN-ML02-M3-CH-000006.dwg,ML02,MP
