SUPP_REFF,Layer,Asset ID,Drawing Name,Area Code,Direction
MPNB-302,GX_DRAW_XREF,568668,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-301,GX_DRAW_XREF,568671,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-300,GX_DRAW_XREF,568674,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-299,GX_DRAW_XREF,568677,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-298,GX_DRAW_XREF,568680,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-297,GX_DRAW_XREF,568683,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-296,GX_DRAW_XREF,568686,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-295,GX_DRAW_XREF,568689,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-294,GX_DRAW_XREF,568692,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-293,GX_DRAW_XREF,568695,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-292,GX_DRAW_XREF,568698,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-291,GX_DRAW_XREF,568701,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-290,GX_DRAW_XREF,568706,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPNB-289,GX_DRAW_XREF,568709,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
HMPSB-13,GX_DRAW_XREF,568771,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPSB-14,GX_DRAW_XREF,568774,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPSB-15,GX_DRAW_XREF,568777,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPNB-48,GX_DRAW_XREF,568843,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPNB-47,GX_DRAW_XREF,568846,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPNB-46,GX_DRAW_XREF,568849,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPNB-63,GX_DRAW_XREF,568852,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPNB-62,GX_DRAW_XREF,568855,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPNB-61,GX_DRAW_XREF,568858,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPSB-10,GX_DRAW_XREF,568861,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPSB-11,GX_DRAW_XREF,568864,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
HMPSB-12,GX_DRAW_XREF,568867,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,HM
MPSB-82,GX_DRAW_XREF,569802,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-76,GX_DRAW_XREF,569850,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-62,GX_DRAW_XREF,569876,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
MPSB-56,GX_DRAW_XREF,569884,HA549348-AMAR-HSN-J15A-M3-CH-000003.dwg,J15A,MP
