SUPP_REFF,Layer,Asset ID,Drawing Name,Area Code,Direction
MPSB-24,GX_ANNO_TEXT_T_VERIF_0000X,567384,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-25,GX_ANNO_TEXT_T_VERIF_0000X,567387,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-26,GX_ANNO_TEXT_T_VERIF_0000X,567390,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-27,GX_ANNO_TEXT_T_VERIF_0000X,567393,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-28,GX_ANNO_TEXT_T_VERIF_0000X,567396,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-30,GX_ANNO_TEXT_T_VERIF_0000X,567402,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-31,GX_ANNO_TEXT_T_VERIF_0000X,567405,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-32,GX_ANNO_TEXT_T_VERIF_0000X,567408,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-33,GX_ANNO_TEXT_T_VERIF_0000X,567411,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-34,GX_ANNO_TEXT_T_VERIF_0000X,567414,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-35,GX_ANNO_TEXT_T_VERIF_0000X,567417,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-37,GX_ANNO_TEXT_T_VERIF_0000X,567423,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-38,GX_ANNO_TEXT_T_VERIF_0000X,567426,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-39,GX_ANNO_TEXT_T_VERIF_0000X,567429,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-40,GX_ANNO_TEXT_T_VERIF_0000X,567432,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-41,GX_ANNO_TEXT_T_VERIF_0000X,567435,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-42,GX_ANNO_TEXT_T_VERIF_0000X,567438,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-43,GX_ANNO_TEXT_T_VERIF_0000X,567441,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-44,GX_ANNO_TEXT_T_VERIF_0000X,567444,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-46,GX_ANNO_TEXT_T_VERIF_0000X,567450,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-47,GX_ANNO_TEXT_T_VERIF_0000X,567453,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-48,GX_ANNO_TEXT_T_VERIF_0000X,567456,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-49,GX_ANNO_TEXT_T_VERIF_0000X,567459,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-50,GX_ANNO_TEXT_T_VERIF_0000X,567462,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-51,GX_ANNO_TEXT_T_VERIF_0000X,567465,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-52,GX_ANNO_TEXT_T_VERIF_0000X,567468,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-53,GX_ANNO_TEXT_T_VERIF_0000X,568135,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
