Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,Arup reference ID
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483494.241,,246149.672,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481850.422,,247502.314,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL04
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481844.126,,247510.005,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL05
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481837.725,,247517.764,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL06
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481180.885,,248177.139,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL07
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481174.419,,248184.87,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL08
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481168.085,,248192.747,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL09
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479918.189,,249634.311,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL10
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479914.061,,249643.296,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL11
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479909.931,,249652.474,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL12
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480206.916,,249265.724,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480211.976,,249257.112,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480217.092,,249248.449,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480927.625,,248487.324,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL04
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480933.955,,248479.54,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL05
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480940.327,,248471.794,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL06
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,482325.651,,247088.711,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL07
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,482332.367,,247081.336,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL08
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,482339.357,,247073.537,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL09
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483917.237,,245881.174,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL10
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483924.905,,245874.628,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL11
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483932.947,,245867.813,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL12
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478868.394,,251405.231,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL13
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478863.672,,251414.161,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL14
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478858.745,,251423.736,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL15
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478234.433,,252278.883,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL16
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478228.826,,252287.292,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL17
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478223.324,,252295.607,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL18
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477683.016,,252890.979,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL19
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477676.709,,252898.777,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL20
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477669.735,,252907.255,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL21
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477010.968,,253511.801,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL22
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477003.895,,253519.09,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL23
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,476996.836,,253526.363,,,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL24
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475519.491,,254805.428,,,,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475512.704,,254812.773,,,,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475505.813,,254819.976,,,,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474128.874,,256195.807,,,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474122.623,,256203.035,,,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474116.215,,256210.75,,,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473578.732,,256655.987,,,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL04
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473571.267,,256662.489,,,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL05
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473563.765,,256669.065,,,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL06
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471204.534,,257878.688,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471196.749,,257885.158,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471189.109,,257891.585,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470630.507,,258268.046,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL04
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470622.911,,258274.386,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL05
