Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,Arup reference ID
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469270.024,,258935.432,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL06
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470532.204,,258376.422,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL07
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470539.941,,258370.168,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL08
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470547.964,,258364.174,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL09
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471216.394,,257916.97,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL10
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471223.626,,257910.837,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL11
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471230.06,,257905.52,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL12
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473257.02,,256908.368,,,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473265.018,,256902.488,,,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473272.784,,256896.75,,,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474368.678,,255999.069,,,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL04
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474374.734,,255991.129,,,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL05
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474380.899,,255983.274,,,,IT_SM:IT_SM-M:M1-J15A-SB-RTS-BOL-BOL06
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475683.667,,254714.317,,,,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL04
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475690.361,,254707.162,,,,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL05
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,476538.193,,253972.978,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL13
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,476545.257,,253965.766,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL14
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,476552.266,,253958.493,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL15
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477411.652,,253208.797,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL16
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477418.159,,253201.456,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL17
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477977.91,,252635.019,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL18
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477984.2,,252626.867,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL19
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477989.87,,252619.351,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL20
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478605.28,,251861.621,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL21
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478610.233,,251852.84,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL22
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478615.124,,251844.216,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL23
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479075.655,,251144.45,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL24
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479079.846,,251135.42,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL25
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479084.239,,251126.128,,,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL26
