System id,Civil 3D element id,Arup reference ID
,765087,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL22
,765084,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL23
,765081,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL24
,568834,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL01
,568831,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL02
,568825,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL03
,568849,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL01
,568846,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL02
,568843,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL03
,568858,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL04
,568855,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL05
,568852,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL06
,568203,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL01
,568200,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL02
,568197,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL03
,568218,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL04
,568215,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL05
,568233,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL06
,568236,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL07
,568239,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL08
,568263,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL09
,568266,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL10
,568269,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL11
,760198,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL01
,760201,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL02
,760204,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL03
,568257,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL01
,568254,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL02
,568251,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL03
,568248,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL04
,568245,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL05
