Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Arup reference ID
HMPNB-1,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL01
HMPNB-2,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL02
HMPNB-3,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J13-NB-RTS-BOL-BOL03
HMPNB-4,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL01
HMPNB-5,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL02
HMPNB-6,17/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL03
HMPNB-7,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL04
HMPNB-8,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL05
HMPNB-9,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-NB-RTS-BOL-BOL06
HMPNB-10,08/03/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL01
HMPNB-11,09/03/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL02
HMPNB-12,25/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL03
HMPNB-13,05/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL04
HMPNB-14,09/03/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL05
HMPNB-15,09/03/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL06
