Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Arup reference ID
HMPNB-18,11/05/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-NB-RTS-BOL-BOL07
HMPNB-19,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-SER-NB-RTS-BOL-BOL01
HMPNB-20,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-SER-NB-RTS-BOL-BOL02
HMPNB-21,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-SER-NB-RTS-BOL-BOL03
HMPSB-40,05/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL01
HMPSB-41,05/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL02
HMPSB-43,05/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL03
HMPSB-44,05/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL04
HMPSB-45,05/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-SER-SB-RTS-BOL-BOL05
HMPSB-46,05/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL01
HMPSB-47,05/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL02
HMPSB-48,12/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J14-SB-RTS-BOL-BOL03
HMPSB-49,19/01/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL01
HMPSB-50,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL02
HMPSB-51,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL03
HMPSB-52,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL04
HMPSB-53,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL05
HMPSB-54,18/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK01-SB-RTS-BOL-BOL06
HMPSB-55,19/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J13-SB-RTS-BOL-BOL01
HMPSB-56,19/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J13-SB-RTS-BOL-BOL02
HMPSB-57,19/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J13-SB-RTS-BOL-BOL03
HMPNB-22,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL01
HMPNB-23,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL02
HMPNB-24,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL03
HMPNB-25,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL04
HMPNB-26,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL05
HMPNB-27,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL06
HMPNB-28,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL07
HMPNB-29,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL08
HMPNB-30,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL09
HMPNB-31,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL10
HMPNB-32,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL11
HMPNB-33,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL12
HMPSB-28,16/12/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL01
HMPSB-29,16/12/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL02
HMPSB-30,17/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL03
HMPSB-31,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL04
HMPSB-32,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL05
HMPSB-33,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL06
HMPSB-34,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL07
HMPSB-35,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL08
HMPSB-36,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL09
HMPSB-37,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL10
HMPSB-38,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL11
HMPSB-39,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL12
HMPNB-34,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL13
HMPNB-35,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL14
HMPNB-36,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL15
HMPNB-58,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL16
HMPNB-59,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL17
HMPNB-60,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL18
HMPNB-37,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL19
HMPNB-38,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL20
HMPNB-39,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL21
HMPNB-40,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL22
HMPNB-41,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL23
HMPNB-42,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL24
HMPNB-43,30/08/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL01
HMPNB-44,30/08/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL02
HMPNB-45,30/08/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL03
HMPNB-46,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL01
HMPNB-47,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL02
HMPNB-48,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL03
HMPNB-61,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL04
HMPNB-62,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL05
HMPNB-63,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL06
HMPNB-64,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL01
HMPNB-65,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL02
HMPNB-66,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL03
HMPNB-50,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL04
HMPNB-51,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL05
HMPNB-52,30/06/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL06
HMPNB-53,30/06/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL07
HMPNB-54,30/06/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL08
HMPNB-67,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL09
HMPNB-68,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL10
HMPNB-69,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL11
HMPSB-1,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL01
HMPSB-2,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL02
HMPSB-3,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL03
HMPSB-58,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL01
HMPSB-59,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL02
HMPSB-60,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL03
HMPSB-4,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL04
HMPSB-5,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL05
